trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,,,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0367189,,0.0067689,5,0.0367189,0.0367189,0.028042,1.8159446,[0.3453703703703704],[0.23425925925925925],[1],[0],[0],,1.7872295,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
1,0,1,0,1.8433735,,1.8208548,5,1.8433735,1.8433735,0.0162662,3.3954091,[0.000925925925925926],[0.42314814814814816],[1],[0],[0],,1.5585206,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
2,0,2,0,3.4463568,,3.3982606,10,3.4463568,3.4463568,0.0343695,5.3130039,[-0.041666666666666664],[0.362962962962963],[1],[0],[0],,1.8806004,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
3,0,3,0,5.3627687,,5.3158081,10,5.3627687,5.3627687,0.0323008,7.3460729,[-0.4101851851851852],[0.10555555555555556],[1],[0],[0],,1.9981074,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
4,0,4,0,7.3975796,,7.349022,10,7.3975796,7.3975796,0.0346163,10.1954918,[0.3416666666666667],[0.42592592592592593],[1],[0],[0],,2.8122822,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
5,0,5,0,10.2457102,,10.1983372,10,10.2457102,10.2457102,0.0365333,11.9795585,[-0.2064814814814815],[0.3314814814814815],[1],[0],[0],,1.7447837,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
6,0,6,0,12.0092511,,11.9835189,5,12.0092511,12.0092511,0.0198331,14.329127,[0.024074074074074074],[-0.42962962962962964],[1],[0],[0],,2.3262455,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
7,0,7,0,14.3821253,,14.3321054,10,14.3821253,14.3821253,0.0391887,16.8594717,[-0.2740740740740741],[-0.4027777777777778],[1],[0],[0],,2.4883192,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
8,0,8,0,16.8838019,,16.8628618,5,16.8838019,16.8838019,0.0146446,19.6626279,[-0.2796296296296296],[-0.36018518518518516],[1],[0],[0],,2.7853523,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
9,0,9,0,19.7089196,,19.6653949,10,19.7089196,19.7089196,0.033424,21.3293356,[-0.08333333333333333],[0.3],[1],[0],[0],,1.6306449,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
10,0,10,0,21.3758561,,21.3332713,10,21.3758561,21.3758561,0.0308894,23.6794909,[-0.3962962962962963],[-0.15925925925925927],[1],[0],[0],,2.3156493,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
11,0,11,0,23.7254184,,23.682911,10,23.7254184,23.7254184,0.0325496,26.0125166,[0.09722222222222222],[-0.07037037037037037],[1],[0],[0],,2.2974342,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
12,0,12,0,26.0395167,,26.0153658,5,26.0395167,26.0395167,0.0168234,27.8127569,[0.13518518518518519],[-0.3712962962962963],[1],[0],[0],,1.7807916,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
13,0,13,0,27.8452493,,27.815696,5,27.8452493,27.8452493,0.021649,29.7289961,[0.39444444444444443],[0.03518518518518519],[1],[0],[0],,1.8919185,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
14,0,14,0,29.776589,,29.7328197,10,29.776589,29.776589,0.0314925,31.9456462,[-0.30648148148148147],[0.07777777777777778],[1],[0],[0],,2.1817357,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
15,0,15,0,31.9768867,,31.9506594,5,31.9768867,31.9768867,0.0198671,33.7135503,[0.1175925925925926],[-0.30092592592592593],[1],[0],[0],,1.7436365,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
16,0,16,0,33.7419726,,33.71754,5,33.7419726,33.7419726,0.018145,35.5460302,[-0.412962962962963],[0.13425925925925927],[1],[0],[0],,1.810535,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
17,0,17,0,35.5729525,,35.5488373,5,35.5729525,35.5729525,0.0174542,37.6461612,[-0.21203703703703702],[-0.1675925925925926],[1],[0],[0],,2.0800074,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
18,0,18,0,37.6954146,,37.6491695,10,37.6954146,37.6954146,0.0345347,40.2629108,[-0.14166666666666666],[-0.3277777777777778],[1],[0],[0],,2.5793821,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
19,0,19,0,40.2892793,,40.2657374,5,40.2892793,40.2892793,0.0160164,42.2463269,[0.17222222222222222],[0.3194444444444444],[1],[0],[0],,1.9647254,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
20,0,20,0,42.2710036,,42.2491609,5,42.2710036,42.2710036,0.0152122,43.7127125,[0.058333333333333334],[0.2898148148148148],[1],[0],[0],,1.4484998,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
21,0,21,0,43.7378996,,43.7155438,5,43.7378996,43.7378996,0.0155052,46.3476667,[0.30925925925925923],[-0.44351851851851853],[1],[0],[0],,2.6165841,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
22,0,22,0,46.3832828,,46.3522655,5,46.3832828,46.3832828,0.0220188,49.2296598,[-0.4787037037037037],[-0.018518518518518517],[1],[0],[0],,2.855851,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
23,0,23,0,49.2559369,,49.2325183,5,49.2559369,49.2559369,0.0164295,51.1303985,[0.4425925925925926],[0.1962962962962963],[1],[0],[0],,1.8816253,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
24,0,24,0,51.1592808,,51.1331976,5,51.1592808,51.1592808,0.0189133,53.0797869,[0.008333333333333333],[-0.40925925925925927],[1],[0],[0],,1.9277229,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
25,0,25,0,53.1309322,,53.0844992,10,53.1309322,53.1309322,0.0340128,56.4291552,[0.24444444444444444],[0.41203703703703703],[1],[0],[0],,3.3110748,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
26,0,26,0,56.4562606,,56.4320668,5,56.4562606,56.4562606,0.01724,58.0631715,[-0.06574074074074074],[0.13055555555555556],[1],[0],[0],,1.6140101,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
27,0,27,0,58.1095748,,58.0669255,10,58.1095748,58.1095748,0.0308216,59.8973168,[-0.23796296296296296],[0.15925925925925927],[1],[0],[0],,1.7996408,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
28,0,28,0,59.9485323,,59.9003059,10,59.9485323,59.9485323,0.0345681,62.3962747,[0.23055555555555557],[-0.30462962962962964],[1],[0],[0],,2.4615601,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
29,0,29,0,62.4440569,,62.3991031,10,62.4440569,62.4440569,0.0336902,64.3967013,[-0.17314814814814813],[0.09166666666666666],[1],[0],[0],,1.9641496,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
30,0,30,0,64.4423836,,64.3995145,10,64.4423836,64.4423836,0.0303819,67.6797668,[0.4324074074074074],[-0.3814814814814815],[1],[0],[0],,3.2500346,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
31,0,31,0,67.7240207,,67.6827522,10,67.7240207,67.7240207,0.0307973,72.8295433,[0.3416666666666667],[0.42592592592592593],[1],[0],[0],,5.1162462,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
32,0,32,0,72.8555952,,72.832409,5,72.8555952,72.8555952,0.0163887,74.4134014,[0.12407407407407407],[0.4111111111111111],[1],[0],[0],,1.5647803,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
33,0,33,0,74.4395858,,74.4162399,5,74.4395858,74.4395858,0.0168523,76.4637014,[0.09814814814814815],[-0.1787037037037037],[1],[0],[0],,2.030792,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
34,0,34,0,76.5545175,,76.466549,10,76.5545175,76.5545175,0.0747285,78.3470362,[0.16666666666666666],[0.0712962962962963],[1],[0],[0],,1.8058749,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
35,0,35,0,78.4028957,,78.350762,10,78.4028957,78.4028957,0.0408076,80.1803244,[-0.35185185185185186],[0.2759259259259259],[1],[0],[0],,1.789152,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
36,0,36,0,80.2097776,,80.1831895,5,80.2097776,80.2097776,0.0196731,82.7466747,[0.4824074074074074],[0.1787037037037037],[1],[0],[0],,2.5439868,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
37,0,37,0,82.7778293,,82.7495157,5,82.7778293,82.7778293,0.0202071,86.7471477,[-0.34814814814814815],[-0.13240740740740742],[1],[0],[0],,3.9775422,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
38,0,38,0,86.7841468,,86.7517036,5,86.7841468,86.7841468,0.0228757,89.1300026,[0.4842592592592593],[0.34629629629629627],[1],[0],[0],,2.3560487,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
39,0,39,0,89.1780858,,89.1328458,10,89.1780858,89.1780858,0.0345084,91.3133361,[-0.18518518518518517],[-0.10462962962962963],[1],[0],[0],,2.1462139,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
40,0,40,0,91.3677047,,91.3161908,10,91.3677047,91.3677047,0.0341507,94.5301779,[-0.3925925925925926],[0.3453703703703704],[1],[0],[0],,3.1799137,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
